dataset,path,arm,seed,orders,cap,calls,accepted,candidate_status,candidate_bound,deployed_bound,generation_seconds,cumulative_check_seconds
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/direct_lbfgsb/record.json,direct_lbfgsb,24101,"[8, 16]",400,104,False,CERTIFIED,0.0019232953479479955,0.0019234428579739673,0.2985274220000065,10.435301989000038
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/neural_adam/record.json,neural_adam,24101,"[8, 16]",25,25,True,CERTIFIED,0.0020013744272175953,0.0020013744272175953,0.08511043500001847,2.0591470869999853
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/neural_adam/record.json,neural_adam,24101,"[8, 16]",50,50,True,CERTIFIED,0.0019495014559671733,0.0019495014559671733,0.16646979399999395,4.112981646999998
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/neural_adam/record.json,neural_adam,24101,"[8, 16]",100,100,True,CERTIFIED,0.0019349101656973568,0.0019349101656973568,0.32989432499999793,6.176876894000003
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/neural_adam/record.json,neural_adam,24101,"[8, 16]",200,200,True,CERTIFIED,0.0019286316776294667,0.0019286316776294667,0.6557018109999717,8.244262540000022
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/neural_adam/record.json,neural_adam,24101,"[8, 16]",400,400,True,CERTIFIED,0.0019253392980120856,0.0019253392980120856,1.3050433070000054,10.30997949600004
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/neural_lbfgsb/record.json,neural_lbfgsb,24101,"[8, 16]",25,25,True,CERTIFIED,0.009609671096837859,0.009609671096837859,0.07924806500000159,2.101636251000002
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/neural_lbfgsb/record.json,neural_lbfgsb,24101,"[8, 16]",50,50,True,CERTIFIED,0.009608326141774317,0.009608326141774317,0.15850514699999962,4.190337743000015
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/neural_lbfgsb/record.json,neural_lbfgsb,24101,"[8, 16]",100,100,False,CERTIFIED,0.009608290489162343,0.009608326141774317,0.31546594300002084,6.278379950000016
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/neural_lbfgsb/record.json,neural_lbfgsb,24101,"[8, 16]",200,102,False,CERTIFIED,0.009608290435566104,0.009608326141774317,0.32168757100001244,8.363994901000012
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/neural_lbfgsb/record.json,neural_lbfgsb,24101,"[8, 16]",400,102,False,CERTIFIED,0.009608290435566104,0.009608326141774317,0.32168757100001244,10.452071088000025
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/tangent_adam/record.json,tangent_adam,24101,"[8, 16]",25,25,True,CERTIFIED,0.004484679406154824,0.004484679406154824,0.07470139199998016,2.058290568000018
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/tangent_adam/record.json,tangent_adam,24101,"[8, 16]",50,50,True,CERTIFIED,0.0023904324204298004,0.0023904324204298004,0.14840416699999537,4.124094866000036
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/tangent_adam/record.json,tangent_adam,24101,"[8, 16]",100,100,True,CERTIFIED,0.0021399464485316604,0.0021399464485316604,0.29347783200000777,6.187319344000031
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/tangent_adam/record.json,tangent_adam,24101,"[8, 16]",200,200,True,CERTIFIED,0.002095992880844389,0.002095992880844389,0.5850283199999922,8.247788185000019
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/tangent_adam/record.json,tangent_adam,24101,"[8, 16]",400,400,True,CERTIFIED,0.0020844980833552022,0.0020844980833552022,1.172489694999996,10.327913935000026
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/white_adam/record.json,white_adam,24101,"[8, 16]",25,25,True,CERTIFIED,0.030153298818847988,0.030153298818847988,0.0739881760000003,2.062461178999996
