case,method,grid_or_nodes,cumulative_seconds,lower,upper,width
ties0,budget8.0,353,2.439210146999983,1.068535990130431,1.0748499933747566,0.006314003244325707
ties0,budget8.0,355,2.4524831869999844,1.068535990130431,1.0748499933747566,0.006314003244325707
ties0,budget8.0,357,2.4657513180000024,1.068535990130431,1.0748499933747566,0.006314003244325707
ties0,budget8.0,359,2.479010317000018,1.068535990130431,1.0748499933747566,0.006314003244325707
ties0,budget8.0,361,2.492244888000016,1.068535990130431,1.0748499933747566,0.006314003244325707
ties0,budget8.0,363,2.5054626639999924,1.068535990130431,1.0748499933747566,0.006314003244325707
ties0,budget8.0,365,2.51868183199997,1.068535990130431,1.0748499933747566,0.006314003244325707
ties0,budget8.0,367,2.5319607099999644,1.068535990130431,1.0748499933747566,0.006314003244325707
ties0,budget8.0,369,2.5451862279999773,1.068535990130431,1.0748499933747566,0.006314003244325707
ties0,budget8.0,371,2.5584088520000137,1.068535990130431,1.0748499933747566,0.006314003244325707
ties0,budget8.0,373,2.571647009000003,1.0687108095125537,1.0748499933747566,0.0061391838622029795
ties0,budget8.0,375,2.5785918469999842,1.0687108095125537,1.0748499933747566,0.0061391838622029795
ties0,budget8.0,377,2.585586610000007,1.0687108095125537,1.0748499933747566,0.0061391838622029795
ties0,budget8.0,379,2.592578859000014,1.0687108095125537,1.0748499933747566,0.0061391838622029795
ties0,budget8.0,381,2.5995899970000096,1.0687108095125537,1.0748499933747566,0.0061391838622029795
ties0,budget8.0,383,2.612875504999977,1.0687108095125537,1.0748499933747566,0.0061391838622029795
ties0,budget8.0,385,2.6262070920000156,1.0687108095125537,1.0748499933747566,0.0061391838622029795
ties0,budget8.0,387,2.63977713700001,1.0687108095125537,1.0748499933747566,0.0061391838622029795
ties0,budget8.0,389,2.653183747000014,1.0687108095125537,1.0748499933747566,0.0061391838622029795
ties0,budget8.0,391,2.666702946999976,1.0687108095125537,1.0748499933747566,0.0061391838622029795
ties0,budget8.0,393,2.680458020000003,1.0687108095125537,1.0748499933747566,0.0061391838622029795
ties0,budget8.0,395,2.6939607749999936,1.0687108095125537,1.0748499933747566,0.0061391838622029795
ties0,budget8.0,397,2.7074738249999655,1.0687108095125537,1.0748499933747566,0.0061391838622029795
ties0,budget8.0,399,2.7208731239999793,1.0687108095125537,1.0748499933747566,0.0061391838622029795
ties0,budget8.0,401,2.7344244109999636,1.0687108095125537,1.0748499933747566,0.0061391838622029795
ties0,budget8.0,403,2.7478173110000057,1.0687108095125537,1.0748499933747566,0.0061391838622029795
ties0,budget8.0,405,2.761390832000018,1.0687108095125537,1.0748499933747566,0.0061391838622029795
ties0,budget8.0,407,2.768453146000013,1.0687108095125537,1.0748499933747566,0.0061391838622029795
ties0,budget8.0,409,2.7754925759999765,1.0687108095125537,1.0748499933747566,0.0061391838622029795
ties0,budget8.0,411,2.7825386659999936,1.0687108095125537,1.0748499933747566,0.0061391838622029795
ties0,budget8.0,413,2.789600850999989,1.0687108095125537,1.0748499933747566,0.0061391838622029795
ties0,budget8.0,415,2.796636195000019,1.0687108095125537,1.0748499933747566,0.0061391838622029795
ties0,budget8.0,417,2.803654864000009,1.0687108095125537,1.0748499933747566,0.0061391838622029795
ties0,budget8.0,419,2.8106911689999947,1.0687108095125537,1.0748499933747566,0.0061391838622029795
ties0,budget8.0,421,2.8177534339999966,1.0689047099448095,1.0748499933747566,0.00594528342994735
ties0,budget8.0,423,2.830772952000018,1.0689047099448095,1.0748499933747566,0.00594528342994735
ties0,budget8.0,425,2.8437938120000013,1.0690156795410848,1.0748499933747566,0.005834313833671989
ties0,budget8.0,427,2.8570734109999876,1.0690156795410848,1.0748499933747566,0.005834313833671989
ties0,budget8.0,429,2.870366009999998,1.0690156795410848,1.0748499933747566,0.005834313833671989
ties0,budget8.0,431,2.883645107999996,1.0690156795410848,1.0748499933747566,0.005834313833671989
ties0,budget8.0,433,2.8970008119999875,1.0690156795410848,1.0748499933747566,0.005834313833671989
ties0,budget8.0,435,2.910654082999997,1.0690156795410848,1.0748499933747566,0.005834313833671989
ties0,budget8.0,437,2.924454244000003,1.0690156795410848,1.0748499933747566,0.005834313833671989
ties0,budget8.0,439,2.9381936240000073,1.0690156795410848,1.0748499933747566,0.005834313833671989
ties0,budget8.0,441,2.9518607859999975,1.0690635445963825,1.0748499933747566,0.005786448778374248
ties0,budget8.0,443,2.9648779809999724,1.0690635445963825,1.0748499933747566,0.005786448778374248
ties0,budget8.0,445,2.9779422759999647,1.0691122262084471,1.0748499933747566,0.00573776716630953
ties0,budget8.0,447,2.991269215999978,1.0691122262084471,1.0748499933747566,0.00573776716630953
ties0,budget8.0,449,3.0046085650000123,1.0691122262084471,1.0748499933747566,0.00573776716630953
ties0,budget8.0,451,3.017928574999985,1.0691122262084471,1.0748499933747566,0.00573776716630953
ties0,budget8.0,453,3.031306180999991,1.0691122262084471,1.0748499933747566,0.00573776716630953
ties0,budget8.0,455,3.0445888449999643,1.0691122262084471,1.0748499933747566,0.00573776716630953
ties0,budget8.0,457,3.0578419739999845,1.0691122262084471,1.0748499933747566,0.00573776716630953
ties0,budget8.0,459,3.0711786790000133,1.0691122262084471,1.0748499933747566,0.00573776716630953
ties0,budget8.0,461,3.084456896000006,1.0691122262084471,1.0748499933747566,0.00573776716630953
ties0,budget8.0,463,3.0978580579999857,1.0691122262084471,1.0748499933747566,0.00573776716630953
ties0,budget8.0,465,3.1111090139999646,1.0691122262084471,1.0748499933747566,0.00573776716630953
ties0,budget8.0,467,3.1243772259999787,1.0691122262084471,1.0748499933747566,0.00573776716630953
ties0,budget8.0,469,3.1377297650000173,1.0691458423433116,1.0748499933747566,0.00570415103144518
ties0,budget8.0,471,3.150882012000011,1.0691458423433116,1.0748499933747566,0.00570415103144518
ties0,budget8.0,473,3.1638595569999666,1.0691458423433116,1.0748499933747566,0.00570415103144518
ties0,budget8.0,475,3.176786204999985,1.0691458423433116,1.0748499933747566,0.00570415103144518
ties0,budget8.0,477,3.1897331739999686,1.0691458423433116,1.0748499933747566,0.00570415103144518
ties0,budget8.0,479,3.203192172999991,1.0691458423433116,1.0748499933747566,0.00570415103144518
ties0,budget8.0,481,3.216754186000003,1.069417241403568,1.0748499933747566,0.005432751971188552
ties0,budget8.0,483,3.2237854339999785,1.069417241403568,1.0748499933747566,0.005432751971188552
ties0,budget8.0,485,3.2307546380000076,1.069417241403568,1.0748499933747566,0.005432751971188552
